Year,Period,Value
2023,FIRST OF JAN,9402500
2022,FIRST OF JAN,9377000
2022,FIRST OF JUL,9450000
2021,FIRST OF JAN,9442400
2021,FIRST OF JUL,9500000
2020,FIRST OF JAN,9342600
2020,FIRST OF JUL,9350000
2019,FIRST OF JAN,9353400
2019,FIRST OF JUL,9300000
2018,FIRST OF JAN,9432100
2018,FIRST OF JUL,9400000
2017,FIRST OF JAN,9368500
2017,FIRST OF JUL,9400000
2016,FIRST OF JAN,9312400
2015,FIRST OF JAN,9311900
2015,FIRST OF JUL,9300000
2014,FIRST OF JAN,9208600
2014,FIRST OF JUL,9250000
2013,FIRST OF JAN,9221200
2012,FIRST OF JAN,9235500
2012,FIRST OF JUL,9233000
2011,FIRST OF JAN,9155600
2011,FIRST OF JUL,9202000
2010,FIRST OF JAN,9086500
2010,FIRST OF JUL,9133000
2009,FIRST OF JAN,9332800
2009,FIRST OF JUL,9204000
2008,FIRST OF JAN,9257000
2008,FIRST OF JUL,9318000
2007,FIRST OF JAN,9144500
2007,FIRST OF JUL,9150000
2006,FIRST OF JAN,9103900
2006,FIRST OF JUL,9150000
2005,FIRST OF JAN,9003500
2005,FIRST OF JUL,9050000
2004,FIRST OF JAN,8987500
2004,FIRST OF JUL,9000000
2003,FIRST OF JAN,9141700
2003,FIRST OF JUL,9100000
2002,FIRST OF JAN,9105600
2002,FIRST OF JUL,9150000
2001,FIRST OF JAN,9171700
2001,FIRST OF JUL,9100000
2000,FIRST OF JAN,9182800
2000,FIRST OF JUL,9250000
1999,FIRST OF JAN,9128000
1999,FIRST OF JUL,9150000
1998,FIRST OF JAN,9199000
1998,FIRST OF JUL,9200000
1997,FIRST OF JAN,9317900
1997,FIRST OF JUL,9300000
1996,FIRST OF JAN,9419900
1996,FIRST OF JUL,9400000
1995,FIRST OF JAN,9481800
1995,FIRST OF JUL,9500000
1994,FIRST OF JAN,9507000
1994,FIRST OF JUL,9500000
1993,FIRST OF JAN,9658100
1993,FIRST OF JUL,9700000
1992,FIRST OF JAN,9728200
1992,FIRST OF JUL,9700000
1991,FIRST OF JAN,9965600
1991,FIRST OF JUL,9800000
1990,FIRST OF JAN,10014800
1990,FIRST OF JUL,10000000
1989,FIRST OF JAN,10137500
1989,FIRST OF JUL,10000000
1988,FIRST OF JAN,10311200
1988,FIRST OF JUL,10250000
1987,FIRST OF JAN,10466400
1987,FIRST OF JUL,10400000
1986,FIRST OF JAN,11115500
1986,FIRST OF JUL,10850000
1985,FIRST OF JAN,10776900
1985,FIRST OF JUL,11050000
1984,FIRST OF JAN,11058700
1984,FIRST OF JUL,10800000
1983,FIRST OF JAN,11046800
1983,FIRST OF JUL,11110000
1982,FIRST OF JAN,10985900
1982,FIRST OF JUL,11000000
1981,FIRST OF JAN,10849000
1981,FIRST OF JUL,10880000
1980,FIRST OF JAN,10758200
1980,FIRST OF JUL,10780000
1979,FIRST OF JAN,10790000
1979,FIRST OF JUL,10700000
1978,FIRST OF JAN,10896400
1978,FIRST OF JUL,10761000
1977,FIRST OF JAN,10997500
1977,FIRST OF JUL,10946000
1976,FIRST OF JAN,11070600
1976,FIRST OF JUL,11023000
1975,FIRST OF JAN,11219600
1975,FIRST OF JUL,11148000
1974,FIRST OF JAN,11296700
1974,FIRST OF JUL,11215000
1973,FIRST OF JAN,11621700
1973,FIRST OF JUL,11393000
1972,FIRST OF JAN,11775600
1972,FIRST OF JUL,11693000
1971,FIRST OF JAN,11908600
1971,FIRST OF JUL,11839000
1970,FIRST OF JAN,12090700
1969,FIRST OF JAN,13820900
1968,FIRST OF JAN,14456000
1967,FIRST OF JAN,15129100
1966,FIRST OF JAN,15973400
1965,FIRST OF JAN,16980600
1964,FIRST OF JAN,17646800
1963,FIRST OF JAN,18378900
1962,FIRST OF JAN,18963200
1961,FIRST OF JAN,19270800
1960,FIRST OF JAN,19527000
1959,FIRST OF JAN,20132000
1958,FIRST OF JAN,21265000
1957,FIRST OF JAN,22325000
1956,FIRST OF JAN,22912000
1955,FIRST OF JAN,23462000
1954,FIRST OF JAN,23896000
1953,FIRST OF JAN,23549000
1952,FIRST OF JAN,23060000
1951,FIRST OF JAN,23568000
1950,FIRST OF JAN,23853000
1949,FIRST OF JAN,23862000
1948,FIRST OF JAN,24615000
1947,FIRST OF JAN,25842000
1946,FIRST OF JAN,26521000
1945,FIRST OF JAN,27770000
1944,FIRST OF JAN,27704000
1943,FIRST OF JAN,27138000
1942,FIRST OF JAN,26313000
1941,FIRST OF JAN,25453000
1940,FIRST OF JAN,24940000
1939,FIRST OF JAN,24600000
1938,FIRST OF JAN,24466000
1937,FIRST OF JAN,24649000
1936,FIRST OF JAN,25196000
1935,FIRST OF JAN,26082000
1934,FIRST OF JAN,26931000
1933,FIRST OF JAN,25936000
1932,FIRST OF JAN,24896000
1931,FIRST OF JAN,23820000
1930,FIRST OF JAN,23032000
1929,FIRST OF JAN,22440000
1928,FIRST OF JAN,22231000
1927,FIRST OF JAN,22251000
1926,FIRST OF JAN,22410000
1925,FIRST OF JAN,22575000
1924,FIRST OF JAN,22331000
1923,FIRST OF JAN,22138000
1922,FIRST OF JAN,21851000
1921,FIRST OF JAN,21456000
1920,FIRST OF JAN,21455000
