Year,Period,Value
2023,FIRST OF JAN,13620600
2022,FIRST OF JAN,13986200
2022,FIRST OF JUL,27000000
2021,FIRST OF JAN,14305100
2021,FIRST OF JUL,27700000
2020,FIRST OF JAN,14309000
2020,FIRST OF JUL,27900000
2019,FIRST OF JAN,14539900
2019,FIRST OF JUL,28000000
2018,FIRST OF JAN,14401400
2018,FIRST OF JUL,28100000
2017,FIRST OF JAN,14356300
2017,FIRST OF JUL,27900000
2016,FIRST OF JAN,14066700
2015,FIRST OF JAN,13523900
2015,FIRST OF JUL,26700000
2014,FIRST OF JAN,13497900
2014,FIRST OF JUL,25800000
2013,FIRST OF JAN,13983000
2012,FIRST OF JAN,14141200
2012,FIRST OF JUL,26500000
2011,FIRST OF JAN,14610300
2011,FIRST OF JUL,27200000
2010,FIRST OF JAN,15018500
2010,FIRST OF JUL,27500000
2009,FIRST OF JAN,14993700
2009,FIRST OF JUL,27900000
2008,FIRST OF JAN,15118400
2008,FIRST OF JUL,28200000
2007,FIRST OF JAN,15311300
2007,FIRST OF JUL,28500000
2006,FIRST OF JAN,15339300
2006,FIRST OF JUL,28700000
2005,FIRST OF JAN,15214900
2005,FIRST OF JUL,28700000
2004,FIRST OF JAN,15199500
2004,FIRST OF JUL,28600000
2003,FIRST OF JAN,15545100
2003,FIRST OF JUL,28900000
2002,FIRST OF JAN,15753100
2002,FIRST OF JUL,29400000
2001,FIRST OF JAN,16216000
2001,FIRST OF JUL,29700000
2000,FIRST OF JAN,16816100
2000,FIRST OF JUL,30200000
1999,FIRST OF JAN,17290400
1999,FIRST OF JUL,30500000
1998,FIRST OF JAN,17401300
1998,FIRST OF JUL,30600000
1997,FIRST OF JAN,17825700
1997,FIRST OF JUL,30900000
1996,FIRST OF JAN,18383900
1996,FIRST OF JUL,31700000
1995,FIRST OF JAN,18340800
1995,FIRST OF JUL,32000000
1994,FIRST OF JAN,17872900
1994,FIRST OF JUL,31300000
1993,FIRST OF JAN,18117500
1993,FIRST OF JUL,30300000
1992,FIRST OF JAN,18336100
1992,FIRST OF JUL,29900000
1991,FIRST OF JAN,18107000
1991,FIRST OF JUL,29600000
1990,FIRST OF JAN,18417900
1990,FIRST OF JUL,29400000
1989,FIRST OF JAN,19461300
1989,FIRST OF JUL,29900000
1988,FIRST OF JAN,21008400
1988,FIRST OF JUL,31000000
1987,FIRST OF JAN,22994900
1987,FIRST OF JUL,31100000
1986,FIRST OF JAN,24396900
1986,FIRST OF JUL,32200000
1985,FIRST OF JAN,26372700
1985,FIRST OF JUL,33600000
1984,FIRST OF JAN,27540400
1984,FIRST OF JUL,35100000
1983,FIRST OF JAN,28345500
1983,FIRST OF JUL,35970000
1982,FIRST OF JAN,28777000
1982,FIRST OF JUL,36650000
1981,FIRST OF JAN,28902600
1981,FIRST OF JUL,36524000
1980,FIRST OF JAN,27602900
1980,FIRST OF JUL,35862000
1979,FIRST OF JAN,27263000
1979,FIRST OF JUL,33758000
1978,FIRST OF JAN,29642800
1978,FIRST OF JUL,34807000
1977,FIRST OF JAN,32360000
1977,FIRST OF JUL,38329000
1976,FIRST OF JAN,34531000
1976,FIRST OF JUL,39361000
1975,FIRST OF JAN,36290500
1975,FIRST OF JUL,42793000
1974,FIRST OF JAN,33922300
1974,FIRST OF JUL,41952000
1973,FIRST OF JAN,32229000
1973,FIRST OF JUL,38504000
1972,FIRST OF JAN,31688000
1971,FIRST OF JAN,30235100
1970,FIRST OF JAN,29609000
1969,FIRST OF JAN,28125400
1968,FIRST OF JAN,27736600
1967,FIRST OF JAN,27400500
1966,FIRST OF JAN,26883200
1965,FIRST OF JAN,26181100
1964,FIRST OF JAN,25243000
1963,FIRST OF JAN,23747000
1962,FIRST OF JAN,22299700
1961,FIRST OF JAN,20813700
1960,FIRST OF JAN,20425000
1959,FIRST OF JAN,19407000
1958,FIRST OF JAN,18275000
1957,FIRST OF JAN,18405000
1956,FIRST OF JAN,18869000
1955,FIRST OF JAN,18804000
1954,FIRST OF JAN,17978000
1953,FIRST OF JAN,17440000
1952,FIRST OF JAN,15829000
1951,FIRST OF JAN,14319000
1950,FIRST OF JAN,12516000
1949,FIRST OF JAN,12033000
1948,FIRST OF JAN,12046000
1947,FIRST OF JAN,12804000
1946,FIRST OF JAN,12810000
1945,FIRST OF JAN,12871000
1944,FIRST OF JAN,13768000
1943,FIRST OF JAN,13239000
1942,FIRST OF JAN,12219000
1941,FIRST OF JAN,11413000
1940,FIRST OF JAN,10936000
1939,FIRST OF JAN,10572000
1938,FIRST OF JAN,10053000
1937,FIRST OF JAN,10395000
1936,FIRST OF JAN,10574000
1935,FIRST OF JAN,10980000
1934,FIRST OF JAN,12226000
1933,FIRST OF JAN,11241000
1932,FIRST OF JAN,9744000
1931,FIRST OF JAN,8915000
1930,FIRST OF JAN,8885000
1929,FIRST OF JAN,8224000
1928,FIRST OF JAN,7893000
1927,FIRST OF JAN,7792000
1926,FIRST OF JAN,8388000
1925,FIRST OF JAN,9225000
1924,FIRST OF JAN,9760000
1923,FIRST OF JAN,10929000
1922,FIRST OF JAN,11964000
1921,FIRST OF JAN,11697000
1920,FIRST OF JAN,12025000
